user_id,user_name,session_id,ad_source,clicked_ad,landed_on_website,device_type,time_on_site_sec,product_viewed,num_products_viewed,added_to_cart,initiated_checkout,completed_purchase,purchase_amount,left_review,exit_stage,product_category
user_0363,Tiffany Cole,sess_291e4cbc0f,Instagram,Yes,Yes,Mobile,133,Pants Item B,1,Yes,No,No,0.0,No,cart,Pants
user_0315,Brian Casey,sess_ec84fba5ec,Google,Yes,Yes,Mobile,230,Shorts Item Z,1,Yes,Yes,No,0.0,No,checkout,Shorts
user_0367,Alexander Simpson,sess_d4f904833d,Instagram,Yes,Yes,Mobile,242,T-Shirts Item Z,1,Yes,Yes,No,0.0,No,checkout,T-Shirts
user_0116,Angelica Kemp,sess_90b0cada66,Google,Yes,Yes,Mobile,713,Jeans Item A,2,Yes,Yes,Yes,35.71,No,purchase_confirmation,Jeans
user_0365,Anthony Bruce,sess_4d63b636ca,Facebook,Yes,No,Desktop,0,,0,No,No,No,0.0,No,ad_landing_failure,
user_0393,Theresa Cole,sess_aa2fc0e41c,Instagram,Yes,Yes,Desktop,34,Shorts Item A,1,No,No,No,0.0,No,product_page,Shorts
user_0069,Jeffrey Hernandez,sess_91025ee72c,Instagram,Yes,Yes,Desktop,297,T-Shirts Item B,1,Yes,Yes,No,0.0,No,checkout,T-Shirts
user_0281,Mark Daniels,sess_a6221e1c15,Instagram,Yes,Yes,Mobile,102,Pants Item Z,1,No,No,No,0.0,No,product_page,Pants
user_0207,Joseph Pruitt,sess_d37688dd5e,Instagram,Yes,Yes,Mobile,254,T-Shirts Item B,5,Yes,Yes,No,0.0,No,checkout,T-Shirts
user_0323,Ashley Proctor,sess_e673011e02,Instagram,Yes,Yes,Mobile,62,Shorts Item X,1,No,No,No,0.0,No,product_page,Shorts
user_0224,Kimberly Turner,sess_8b208b4751,Facebook,Yes,Yes,Desktop,26,,0,No,No,No,0.0,No,landing_page,
user_0386,Maria Diaz,sess_caf9f2c4d8,Google,No,No,Mobile,0,,0,No,No,No,0.0,No,ad_not_clicked,
user_0013,Eric Petersen,sess_1b341109b1,Instagram,Yes,Yes,Mobile,51,Accessories Item A,4,No,No,No,0.0,No,product_page,Accessories
user_0056,Holly Conley,sess_f6df8c143e,Instagram,Yes,Yes,Mobile,36,T-Shirts Item X,2,No,No,No,0.0,No,product_page,T-Shirts
user_0368,Brian Taylor,sess_1f57cb2cfb,Instagram,Yes,Yes,Mobile,145,Jeans Item B,6,No,No,No,0.0,No,product_page,Jeans
user_0270,Brooke Holden,sess_0c6d2d0949,Facebook,Yes,Yes,Mobile,33,Shorts Item A,2,No,No,No,0.0,No,product_page,Shorts
user_0388,Anthony Warner,sess_a5b2c70c1f,Instagram,Yes,Yes,Mobile,263,Shorts Item X,1,Yes,Yes,Yes,29.1,No,purchase_confirmation,Shorts
user_0163,Larry Boyle,sess_7a432088a5,Instagram,No,No,Desktop,0,,0,No,No,No,0.0,No,ad_not_clicked,
user_0287,Stephanie Braun,sess_89d68fdcc0,Instagram,Yes,Yes,Desktop,39,Accessories Item X,2,No,No,No,0.0,No,product_page,Accessories
user_0188,Anne Lee,sess_3ac7017b86,Facebook,No,No,Mobile,0,,0,No,No,No,0.0,No,ad_not_clicked,
user_0150,Lori Taylor,sess_8c41cb5d98,Facebook,Yes,Yes,Desktop,300,Jeans Item X,1,Yes,No,No,0.0,No,cart,Jeans
user_0074,Spencer Norris,sess_9c04022add,Instagram,Yes,Yes,Mobile,165,Shorts Item Z,1,No,No,No,0.0,No,product_page,Shorts
user_0320,Donald Richard,sess_ae9f18acd9,Instagram,Yes,Yes,Mobile,53,T-Shirts Item Z,3,No,No,No,0.0,No,product_page,T-Shirts
user_0098,Anthony Poole,sess_4b4a143a52,Instagram,Yes,Yes,Desktop,5,,0,No,No,No,0.0,No,landing_page,
user_0050,Michelle Schneider,sess_cb9f195149,Google,Yes,Yes,Mobile,178,T-Shirts Item Z,1,No,No,No,0.0,No,product_page,T-Shirts
user_0248,Corey Villegas,sess_d1f8d7ca16,Instagram,Yes,Yes,Mobile,25,,0,No,No,No,0.0,No,landing_page,
user_0338,Joseph Carrillo,sess_2cac32212c,Instagram,No,No,Mobile,0,,0,No,No,No,0.0,No,ad_not_clicked,
user_0047,Karen Hughes,sess_2a1c11a88d,Facebook,Yes,Yes,Mobile,285,Jeans Item A,1,Yes,No,No,0.0,No,cart,Jeans
user_0396,Tina Krueger,sess_784860358e,Google,Yes,Yes,Mobile,121,Pants Item A,1,No,No,No,0.0,No,product_page,Pants
user_0341,Michael Moore,sess_14a09ffb64,Instagram,Yes,Yes,Mobile,186,Jeans Item A,2,Yes,Yes,No,0.0,No,checkout,Jeans
user_0284,Alexander Richard,sess_b6f67980fc,Instagram,No,No,Mobile,0,,0,No,No,No,0.0,No,ad_not_clicked,
user_0363,Tiffany Cole,sess_76f4c3d1a0,Facebook,Yes,Yes,Desktop,278,Shorts Item Z,4,Yes,Yes,No,0.0,No,checkout,Shorts
user_0150,Lori Taylor,sess_486cd7e17e,Google,Yes,Yes,Mobile,28,,0,No,No,No,0.0,No,landing_page,
user_0069,Jeffrey Hernandez,sess_88d4a078a6,Instagram,Yes,Yes,Mobile,26,,0,No,No,No,0.0,No,landing_page,
user_0082,Adam Schultz,sess_505ae6b033,Instagram,Yes,Yes,Desktop,1039,Jeans Item B,6,Yes,Yes,Yes,18.02,No,purchase_confirmation,Jeans
user_0005,Michael Price,sess_e7f1191622,Facebook,Yes,Yes,Mobile,362,Hoodies Item X,2,Yes,Yes,No,0.0,No,checkout,Hoodies
